hash,FD,CS,gamma_5_x,gamma_10_x,gamma_20,gamma_30,gamma_50,gamma_10_sp,gamma_5_sp
bdd0325faaba7273002eec4ae427ba450edfcefbe10ce10cb7a8df3485d7d05f,-1,-1,299008,638976,716800,651264,688128,5931008,925696
940a2a3703477ec2ea28abbdcce2f12e7a265091c791d60c8b060ed14669d18e,-1,-1,187392,693760,749568,744448,748544,5811712,1114624
98817af1ed46f8638f3990c641aa11ebd11c63c06c17009531a8e9b3f2ff3431,-1,-1,-1,-1,-1,-1,-1,-1,-1
676a04720fbfff3454bef7708a1192c7ead4817fff75a74534f6dbbea1f1e86f,-1,-1,290816,765952,761856,724992,708608,6197248,1126400
654db28a06445a60ee26e1df0aa62fc05c2945fa49536495c68dd97ad9db99b0,-1,4096,246784,747008,723968,747008,740352,5959168,923136
8cf4a16bcc515b33caba0fa4f923be153f69ac208f3d0c335e2fccb1a83969e5,240,-1,193024,747520,750592,722944,735744,6185984,923136
91b32372486eb778a7c2f3b19fbb4582eb66943d3b1f9bee6371d39c67a0a289,-1,-1,262144,589824,741376,737280,684032,6205440,1073152
14a3c04834d2e6828ed47cc6a1341cec33fbd2531e487b42b778896437a0648c,-1,-1,-1,694272,752128,714240,747520,6187520,1082368
13d65aca416d8269cc9adf0bd1b9c95509100cdce57d82db17ddbf7849f32a95,-1,-1,292864,741376,752128,742912,752128,6187520,923136
7ab32aea3036c6c25b898e28f7836e90081b80c514890f0229cf5d841ebcdda6,-1,-1,293838,753102,745934,753102,738766,6031310,1115598
cc6b968cf1094a2271a70a040608defe7fbb86c315d641bafdc8eb4fa9a2bc2b,-1,-1,-1,749701,749701,726661,-1,6185093,964229
7671d823088d9e04fc788079bdd30afb7123dc5dc53b24b0cd1193d5f496a36e,-1,-1,303104,667648,389120,761856,430080,6205440,1048576
8dba23ca015fe3a9994e38cc81e16d2e242f3eab463144b69425af9e21e382ec,-1,-1,252928,716288,742400,636416,742912,6132224,1092608
dd72c3ff4f0c994a8af8e77e46b3e4553b69279a1e55363f10d4a0b1d7eae216,-1,-1,292864,734720,726016,716800,740864,6183424,1114624
9ac15bdb639e52b7c28169b25f1594a46dc232867dcb6f3efee098e2203dc73f,-1,-1,-1,-1,-1,-1,-1,-1,-1
f52d9db8faaeb0f097d2e3a503dc9a85cdca5e905a3623c4cd33907e8dfa6408,-1,-1,292864,496640,727552,719872,750592,6021120,1114624
ef241f4a08a7125917799dede3813a507cff042dd2a335dd0134436f08ad501f,-1,-1,303104,741376,761856,655360,757760,6205440,1089536
328cef5a7eb6a473f410b85c8299a4748cd6b8b03794a4b15680a96293ea561a,-1,-1,292864,655360,750080,732672,578048,3221504,1092608
04ba813854e040b0eadda98fedab5d540ce60c65b545c2f4800b70cd217ce3f1,184,4096,294912,593920,765952,761856,761856,6062080,1126400
aa63c9c4f80d186de5da43f9177a5e455fd55f7c0d2d8a03ef537fef71c76314,-1,-1,253952,765952,757760,749568,647168,5586944,937984
f51723873c20c566d04933345f61303475c751578c879c02e23c71380914fbce,-1,-1,164352,749568,725504,750080,429056,5821440,1079296
