,AvastStyleConv,BBDnn,EmberGBDT,MalConv,NGramConv,ResNet18
NGramConvRDRS,0.10495382031905962,0.33123425692695213,0.19185558354324098,0.09865659109991604,0.09529806884970612,0.11062132661628883
BBDnnRDRS,0.5390428211586902,0.5541561712846348,0.5474391267842149,0.5363140218303947,0.5403022670025189,0.5358942065491183
MalConvSDRS,0.1081024349286314,0.3318639798488665,0.19164567590260284,0.09865659109991604,0.09613769941225861,0.12132661628883291
AvastStyleConvSDRS,0.23341729638958858,0.3406801007556675,0.2978589420654912,0.24853064651553317,0.2688916876574307,0.27560873215785053
BBDnnSDRS,0.5415617128463476,0.5579345088161209,0.554575986565911,0.5438706968933669,0.5400923593618808,0.5453400503778337
NGramConvSDRS,0.1015952980688497,0.3335432409739715,0.18849706129303107,0.09445843828715365,0.09130982367758186,0.10957178841309824
,AvastStyleConv,BBDnn,EmberGBDT,MalConv,NGramConv,ResNet18
MalConvRsDel,0.1767422334172964,0.27267002518891686,0.17380352644836272,0.17527287993282956,0.17842149454240133,0.18324937027707808
AvastStyleConvRsDel,0.04072208228379513,0.22984886649874056,0.03505457598656591,0.03904282115869018,0.0392527287993283,0.043870696893366916
BBDnnRsDel,0.7308984047019311,0.7403442485306465,0.7283795130142737,0.7273299748110831,0.7302686817800168,0.7308984047019311
NGramConvRsDel,0.33984047019311503,0.42149454240134343,0.3343828715365239,0.34026028547439124,0.33669185558354325,0.35306465155331657
MalConvRS,0.17779177162048698,0.3704869857262804,0.16120906801007556,0.15764063811922754,0.1574307304785894,0.1855583543240974
AvastStyleConvRS,0.15533165407220823,0.27287993282955497,0.18219983207388749,0.16792611251049538,0.16834592779177163,0.18303946263643997
BBDnnRS,0.8851805205709488,0.8721662468513854,0.8782535684298909,0.8700671704450041,0.8897984886649875,0.8807724601175483
NGramConvRS,0.23299748110831234,0.3077246011754828,0.22984886649874056,0.2281696053736356,0.221872376154492,0.2369857262804366
MalConvFDRS,0.0971872376154492,0.3219983207388749,0.0992863140218304,0.08711167086481948,0.08375314861460957,0.11251049538203191
AvastStyleConvFDRS,0.25524769101595296,0.37468513853904284,0.304575986565911,0.2774979009235936,0.29848866498740556,0.3054156171284635
BBDnnFDRS,0.625104953820319,0.6439966414777498,0.6293031066330814,0.6190176322418136,0.6305625524769102,0.6376994122586063
NGramConvFDRS,0.4523509655751469,0.5818639798488665,0.43807724601175485,0.4462636439966415,0.45696893366918556,0.5031486146095718
MalConvKDRS,0.1538623005877414,0.3604114189756507,0.13916876574307305,0.12951301427371956,0.12489504617968095,0.15533165407220823
AvastStyleConvKDRS,0.28967254408060455,0.39378673383711166,0.32052896725440805,0.2982787573467674,0.30919395465994964,0.3234676742233417
BBDnnKDRS,0.5908900083963057,0.6083123425692695,0.5986565910999161,0.5864819479429051,0.5946683459277917,0.6013853904282116
NGramConvKDRS,0.3950461796809404,0.5600335852225021,0.42233417296389586,0.41351805205709485,0.42170445004198154,0.4529806884970613
MalConvRDRS,0.117968094038623,0.3343828715365239,0.1253148614609572,0.10600335852225021,0.10516372795969774,0.13014273719563393
AvastStyleConvRDRS,0.25608732157850544,0.3709068010075567,0.2766582703610411,0.26343408900083964,0.2762384550797649,0.2890428211586902
NGramConvRDRS,0.1047439126784215,0.32808564231738035,0.11146095717884132,0.09886649874055416,0.09781696053736356,0.11691855583543241
BBDnnRDRS,0.5415617128463476,0.5564651553316541,0.5453400503778337,0.5377833753148614,0.5356842989084802,0.5468094038623006
MalConvSDRS,0.10537363560033586,0.32766582703610414,0.11083123425692695,0.09781696053736356,0.09571788413098237,0.12153652392947104
AvastStyleConvSDRS,0.24391267842149456,0.35558354324097396,0.2739294710327456,0.2510495382031906,0.2667926112510495,0.28085642317380355
BBDnnSDRS,0.5430310663308144,0.5646515533165407,0.5499580184718724,0.5459697732997482,0.5407220822837951,0.5507976490344249
NGramConvSDRS,0.1026448362720403,0.32703610411418976,0.10894206549118388,0.09424853064651553,0.09109991603694374,0.11397984886649874
,AvastStyleConv,BBDnn,EmberGBDT,MalConv,NGramConv,ResNet18
MalConvRsDel,0.17947103274559195,0.27204030226700254,0.17422334172963896,0.17884130982367757,0.17212426532325778,0.18387909319899245
AvastStyleConvRsDel,0.043870696893366916,0.22082283795130142,0.03736356003358522,0.039672544080604534,0.03190596137699412,0.04408060453400504
BBDnnRsDel,0.7298488664987406,0.7371956339210747,0.7321578505457599,0.7269101595298069,0.7298488664987406,0.7344668345927792
NGramConvRsDel,0.33900083963056254,0.3975650713685978,0.3360621326616289,0.33921074727120065,0.336272040302267,0.34697732997481107
MalConvRS,0.17821158690176322,0.3419395465994962,0.16309823677581864,0.15428211586901763,0.1561712846347607,0.1897565071368598
AvastStyleConvRS,0.15869017632241814,0.27015113350125947,0.18870696893366917,0.16918555835432408,0.16960537363560033,0.18303946263643997
BBDnnRS,0.8828715365239295,0.8778337531486146,0.8769941225860621,0.874895046179681,0.8931570109151973,0.8839210747271201
NGramConvRS,0.22837951301427373,0.2980688497061293,0.23635600335852225,0.22774979009235935,0.22103274559193956,0.23740554156171284
MalConvFDRS,0.09193954659949623,0.2968094038623006,0.10285474391267842,0.08333333333333333,0.08144416456759027,0.11104114189756507
AvastStyleConvFDRS,0.26028547439126787,0.36733837111670864,0.31066330814441645,0.28442485306465154,0.30205709487825355,0.304575986565911
BBDnnFDRS,0.6242653232577666,0.6465155331654072,0.6395885810243492,0.6209068010075567,0.6290931989924433,0.6406381192275399
